id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
us6000jlsq,5.3,"12 km NE of G├╢lbasi, Turkey",1675696474430,1675707663780,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsq,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsq.geojson,1,5.000000000000000,0.000000000000000,,reviewed,0,433,us,6000jlsq,",us6000jlsq,",",us,",",dyfi,origin,phase-data,",108,0.812,0.730,55.000,mb,earthquake,"M 5.3 - 12 km NE of G├╢lbasi, Turkey"
us6000jlsn,4.5,"14 km N of Tut, Turkey",1675695467066,1675706048040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsn,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsn.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jlsn,",us6000jlsn,",",us,",",origin,phase-data,",25,1.867,0.590,108.000,mb,earthquake,"M 4.5 - 14 km N of Tut, Turkey"
us6000jlsl,4.4,"16 km WNW of Sincik, Turkey",1675695076243,1675705052040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsl,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsl.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jlsl,",us6000jlsl,",",us,",",origin,phase-data,",23,1.337,1.250,115.000,mb,earthquake,"M 4.4 - 16 km WNW of Sincik, Turkey"
us6000jlsj,4.4,"5 km NW of Dogansehir, Turkey",1675694517408,1675706595040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsj.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jlsj,",us6000jlsj,",",us,",",origin,phase-data,",15,1.068,0.490,99.000,mb,earthquake,"M 4.4 - 5 km NW of Dogansehir, Turkey"
us6000jlsf,4.7,"3 km SSE of G├╢ksun, Turkey",1675693798740,1675705743040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsf,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsf.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,340,us,6000jlsf,",us6000jlsf,",",us,",",origin,phase-data,",39,0.991,1.110,95.000,mb,earthquake,"M 4.7 - 3 km SSE of G├╢ksun, Turkey"
us6000jlse,4.5,"2 km WSW of Asagi Karafakili, Turkey",1675693663378,1675713817040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlse,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlse.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jlse,",us6000jlse,",",us,",",origin,phase-data,",59,0.672,0.960,71.000,mb,earthquake,"M 4.5 - 2 km WSW of Asagi Karafakili, Turkey"
us6000jlsd,4.4,"5 km WSW of Nurhak, Turkey",1675693038940,1675708854040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsd,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsd.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jlsd,",us6000jlsd,",",us,",",origin,phase-data,",44,0.783,0.700,88.000,mb,earthquake,"M 4.4 - 5 km WSW of Nurhak, Turkey"
us6000jlsb,4.5,"14 km S of Nurhak, Turkey",1675692611931,1675707980040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jlsb,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jlsb.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jlsb,",us6000jlsb,",",us,",",origin,phase-data,",48,0.689,0.640,89.000,mb,earthquake,"M 4.5 - 14 km S of Nurhak, Turkey"
us6000jls9,4.4,central Turkey,1675692290340,1675704392040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jls9,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jls9.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jls9,",us6000jls9,",",us,",",origin,phase-data,",46,0.984,0.740,72.000,mb,earthquake,M 4.4 - central Turkey
us6000jls6,5.0,"7 km SE of Nurhak, Turkey",1675691091613,1675707584917,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jls6,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jls6.geojson,1,6.100000000000000,0.000000000000000,,reviewed,0,385,us,6000jls6,",us6000jls6,",",us,",",dyfi,origin,phase-data,",76,0.790,0.520,76.000,mb,earthquake,"M 5.0 - 7 km SE of Nurhak, Turkey"
